pestiKorName,regCpntQnty,pestiBrandName,compName,useName,indictSymbl,cropName,diseaseWeedName,pestiUse,dilutUnit,useSuittime,useNum
테부코나졸 액상수화제,tebuconazole-20,실바코플러스,바이엘크롭사이언스(주),살균제,사1,사과,점무늬낙엽병,발병초부터 10일간격 경엽처리,"2,000배",수확 30일 전까지,3회 이내
테부코나졸.뷰프로페진 수화제,Tebuconazole-25Buprofezin-2.5,총명탄,(주)유일,살균.살충제,사1+16,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 14일전,3회 이내
트리플록시스트로빈 액상수화제,Trifloxystrobin-22,작사,(주)경농,살균제,다3,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 21일전,5회 이내
트리플록시스트로빈 액상수화제,trifloxystrobin-22,프린트,바이엘크롭사이언스(주),살균제,다3,사과,점무늬낙엽병,발병초부터 10일간격 경엽처리,"2,000배",수확 21일 전까지,5회 이내
트리플록시스트로빈 입상수화제,trifloxystrobin-50,에이플,(주)팜한농,살균제,다3,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"5,000배",수확 21일 전까지,4회 이내
트리플루미졸 수화제,triflumizole-30,트리후민,(주)농협케미컬,살균제,사1,사과,점무늬낙엽병,꽃이 피기직전 및 꽃이 진 다음부터 10일간격 경엽처리,"2,000배",수확 14일 전까지,4회 이내
펜티오피라드 액상수화제,Penthiopyrad-15,골드타임,(주)경농,살균제,다2,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 21일 전까지,3회 이내
펜티오피라드.테부코나졸 액상수화제,Penthiopyrad-5Tebuconazole-6.5,엠불런스,(주)경농,살균제,다2+사1,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"1,000배",수확 21일 전까지,3회 이내
폴리옥신디 수화제,polyoxin d-2.25,영일바이오,(주)농협케미컬,살균제,아4,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"1,000배",수확 21일 전까지,5회 이내
폴리옥신디 입상수화제,polyoxin d-5,잘류프리,(주)경농,살균제,아4,사과,점무늬낙엽병,발병초 10일 간격 경엽처리,"2,000배",수확 14일 전까지,5회 이내
폴리옥신비 수화제,polyoxin b-10,팜한농포리옥신,(주)팜한농,살균제,아4,사과,점무늬낙엽병,꽃이 피기전 및 꽃이 진후 10일경부터 10일 간격 경엽처리,"1,000배",수확 7일 전까지,5회 이내
프로클로라즈망가니즈 수화제,Prochloraz manganese-50,스포르곤,한국삼공(주),살균제,사1,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 21일 전까지,4회 이내
프로클로라즈망가니즈.테부코나졸 수화제,prochloraz manganese complex-25tebuconazole-15,사천왕,한국삼공(주),살균제,사1+사1,사과,점무늬낙엽병,발병초기 10일간격 경엽처리,"2,000배",수확 21일 전까지,4회 이내
프로피네브 수화제,propineb-70,균피아,(주)동방아그로,살균제,카,사과,점무늬낙엽병,개화전 및 낙화후 10일경부터 10일간격 경엽처리,500배,수확 7일 전까지,5회 이내
프로피네브 수화제,propineb-70,새론,(주)농협케미컬,살균제,카,사과,점무늬낙엽병,개화전 및 낙화후 10일경부터 10일간격 경엽처리,500배,수확 7일 전까지,5회 이내
프로피네브 수화제,propineb-70,성보네,성보화학(주),살균제,카,사과,점무늬낙엽병,개화전 및 낙화후 10일경부터 10일간격 경엽처리,500배,수확 7일 전까지,5회 이내
프로피네브 수화제,propineb-70,안트라콜,바이엘크롭사이언스(주),살균제,카,사과,점무늬낙엽병,꽃이 피기전 및 꽃이 진후 10일경부터 10일 간격 경엽처리,500배,수확 7일 전까지,5회 이내
프로피네브 수화제,Propineb-70,어바우트,(주)한얼싸이언스,살균제,카,사과,점무늬낙엽병,개화전 및 낙화후 10일경부터 10일간격 경엽처리,500배,수확 7일 전까지,5회 이내
프로피네브 수화제,Propineb-70,어바우트,(주)한얼싸이언스,살균제,카,사과,점무늬낙엽병,개화전 및 낙화후 10일경부터 10일간격 경엽처리,500배,수확 7일 전까지,5회 이내
프로피네브 수화제,propineb-70,팜한농프로피,(주)팜한농,살균제,카,사과,점무늬낙엽병,꽃이 피기전 및 꽃이 진후 10일경부터 10일간격 경엽처리,500배,수확 7일 전까지,5회 이내
프로피네브 수화제,Propineb-70,프로랭스,아그리젠토(주),살균제,카,사과,점무늬낙엽병,개화전 및 낙화후 10일경부터 10일간격 경엽처리,500배,수확 7일 전까지,5회 이내
프로피네브.피라클로스트로빈 입상수화제,Propineb-60Pyraclostrobin-5,탄젠트,(주)한얼싸이언스,살균제,카+다3,사과,점무늬낙엽병,발생초 10일간격 경엽처리,"1,000배",수확 21일전,3회 이내
